shuffled_index,model,trial_index
0,linoss_imex,11
1,lstm_stack,13
2,linoss_im,9
3,linoss_im,13
4,gru,13
5,lru,1
6,s5,6
7,gru,10
8,linoss_imex,2
9,transformer_attn,4
10,transformer_attn,8
11,s5,0
12,lru,8
13,linoss_imex,9
14,lstm,0
15,lstm_stack,7
16,lru,15
17,s5,14
18,linoss_imex,6
19,linoss_imex,13
20,linoss_im,6
21,gru,6
22,lru,7
23,linoss_imex,1
24,lstm,5
25,lstm,1
26,gru,1
27,gru_stack,12
28,linoss_imex,4
29,human,7
30,linoss_im,7
31,human,4
32,lstm,6
33,transformer_attn,3
34,transformer_attn,15
35,s5,12
36,transformer_attn,7
37,gru_stack,0
38,s5,9
39,linoss_im,11
40,lstm,12
41,lstm,4
42,lru,11
43,transformer_attn,9
44,transformer_ff,1
45,gru_stack,14
46,linoss_imex,15
47,lstm,10
48,transformer_ff,4
49,transformer_ff,11
50,transformer_attn,11
51,lstm_stack,5
52,transformer_attn,10
53,linoss_im,10
54,human,0
55,transformer_ff,15
56,linoss_im,5
57,lstm,15
58,gru,3
59,gru_stack,8
60,gru_stack,10
61,gru,4
62,gru_stack,11
63,transformer_ff,14
64,lru,10
65,lstm,2
66,lstm_stack,9
67,lstm_stack,0
68,lstm_stack,11
69,lru,13
70,lstm,7
71,lru,14
72,transformer_attn,1
73,linoss_imex,0
74,lstm_stack,10
75,gru,0
76,human,9
77,s5,2
78,gru_stack,7
79,human,5
80,lru,2
81,s5,3
82,gru,15
83,gru,8
84,gru,11
85,transformer_ff,3
86,transformer_ff,6
87,transformer_attn,6
88,s5,13
89,lstm,14
90,linoss_imex,12
91,gru_stack,2
92,lstm_stack,1
93,lstm_stack,3
94,human,1
95,linoss_imex,5
96,s5,4
97,gru_stack,15
98,s5,11
99,gru,9
100,lstm,3
101,gru,7
102,gru_stack,6
103,gru,14
104,gru,12
105,human,3
106,transformer_ff,2
107,human,11
108,lru,0
109,linoss_im,14
110,lstm,8
111,lru,4
112,human,12
113,gru_stack,3
114,linoss_im,1
115,human,13
116,gru,5
117,lstm_stack,2
118,linoss_im,8
119,transformer_attn,14
120,lru,6
121,lstm,9
122,gru_stack,9
123,transformer_attn,12
124,linoss_im,12
125,transformer_ff,9
126,transformer_attn,13
127,human,2
128,s5,8
129,human,6
130,gru,2
131,lstm_stack,4
132,transformer_attn,2
133,transformer_ff,0
134,lru,9
135,lru,12
136,linoss_imex,10
137,transformer_attn,5
138,s5,7
139,transformer_ff,7
140,gru_stack,4
141,linoss_imex,8
142,gru_stack,13
143,transformer_ff,10
144,linoss_imex,7
145,linoss_im,3
146,human,15
147,s5,10
148,transformer_ff,12
149,linoss_im,4
150,lstm,11
151,lstm_stack,14
152,lru,3
153,human,14
154,lstm_stack,8
155,gru_stack,1
156,linoss_imex,3
157,linoss_im,0
158,human,8
159,linoss_imex,14
160,lstm,13
161,lstm_stack,15
162,lru,5
163,s5,1
164,transformer_attn,0
165,transformer_ff,5
166,linoss_im,2
167,s5,5
168,s5,15
169,human,10
170,lstm_stack,12
171,lstm_stack,6
172,linoss_im,15
173,gru_stack,5
174,transformer_ff,8
