shuffled_index,model,trial_index
0,transformer_attn,14
1,gru,12
2,gru,1
3,lstm,12
4,transformer_ff,14
5,s5,4
6,transformer_ff,4
7,transformer_attn,12
8,transformer_ff,15
9,human,14
10,lru,8
11,gru_stack,14
12,linoss_im,14
13,gru_stack,0
14,lstm_stack,14
15,lstm_stack,0
16,lru,14
17,lstm_stack,3
18,s5,14
19,human,15
20,s5,1
21,linoss_imex,1
22,lstm_stack,4
23,s5,13
24,linoss_im,4
25,gru_stack,12
26,linoss_imex,3
27,lru,15
28,transformer_attn,0
29,lru,11
30,linoss_imex,13
31,linoss_imex,0
32,human,1
33,lru,3
34,gru,4
35,human,12
36,transformer_attn,15
37,gru_stack,11
38,gru,13
39,lru,4
40,linoss_im,3
41,s5,12
42,linoss_imex,12
43,transformer_ff,1
44,gru_stack,15
45,lstm_stack,1
46,transformer_attn,3
47,lstm_stack,12
48,lstm,13
49,lru,12
50,gru_stack,3
51,s5,3
52,lru,1
53,lstm,1
54,lstm,4
55,lstm,14
56,gru_stack,4
57,transformer_attn,1
58,linoss_imex,14
59,human,0
60,human,13
61,transformer_attn,4
62,transformer_ff,13
63,s5,0
64,gru_stack,1
65,linoss_im,0
66,linoss_im,1
67,linoss_im,12
68,transformer_ff,12
69,s5,15
70,lstm,0
71,lru,0
72,gru,3
73,gru_stack,13
